,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Punk,#1119,For,Sale:,444,ETH,"($1,141,661.67",USD),Bid:,150,ETH,"($385,696.51",USD),
0,Punk,#3645,For,Sale:,50,ETH,"($128,565.50",USD),Bid:,44,ETH,"($113,137.64",USD),
0,Punk,#392,Bid:,40,ETH,"($102,852.40",USD),,,,,,,
0,Punk,#88,Bid:,33,ETH,"($84,853.23",USD),,,,,,,
0,Punk,#741,Bid:,31,ETH,"($79,710.61",USD),,,,,,,
0,Punk,#3914,For,Sale:,38,ETH,"($97,709.78",USD),Bid:,31,ETH,"($79,710.61",USD),
0,Punk,#3157,Bid:,30,ETH,"($77,139.30",USD),,,,,,,
0,Punk,#240,For,Sale:,57.88,ETH,"($148,827.43",USD),Bid:,29,ETH,"($74,567.99",USD),
0,Punk,#8990,For,Sale:,99.99,ETH,"($257,105.29",USD),Bid:,28,ETH,"($71,996.68",USD),
0,Punk,#2637,Bid:,25,ETH,"($64,282.75",USD),,,,,,,
0,Punk,#6026,Bid:,22,ETH,"($56,568.82",USD),,,,,,,
0,Punk,#7389,Bid:,21,ETH,"($53,997.51",USD),,,,,,,
0,Punk,#4410,For,Sale:,39,ETH,"($100,281.09",USD),Bid:,20,ETH,"($51,426.20",USD),
0,Punk,#281,Bid:,20,ETH,"($51,426.20",USD),,,,,,,
0,Punk,#3307,Bid:,20,ETH,"($51,426.20",USD),,,,,,,
0,Punk,#9523,Bid:,20,ETH,"($51,426.20",USD),,,,,,,
0,Punk,#8902,Bid:,17,ETH,"($43,712.27",USD),,,,,,,
0,Punk,#3364,Bid:,17,ETH,"($43,712.27",USD),,,,,,,
0,Punk,#9190,For,Sale:,20.5,ETH,"($52,711.86",USD),Bid:,16,ETH,"($41,140.96",USD),
0,Punk,#7281,For,Sale:,19.99,ETH,"($51,400.49",USD),Bid:,16,ETH,"($41,140.96",USD),
0,Punk,#4613,For,Sale:,20,ETH,"($51,426.20",USD),Bid:,16,ETH,"($41,140.96",USD),
0,Punk,#2057,Bid:,15,ETH,"($38,569.65",USD),,,,,,,
0,Punk,#510,Bid:,15,ETH,"($38,569.65",USD),,,,,,,
0,Punk,#610,For,Sale:,28.88,ETH,"($74,259.43",USD),Bid:,15,ETH,"($38,569.65",USD),
0,Punk,#4360,Bid:,14.5,ETH,"($37,284.00",USD),,,,,,,
0,Punk,#6265,For,Sale:,14.89,ETH,"($38,286.81",USD),Bid:,14.3,ETH,"($36,769.73",USD),
0,Punk,#6643,For,Sale:,15,ETH,"($38,569.65",USD),Bid:,14,ETH,"($35,998.34",USD),
0,Punk,#3421,For,Sale:,14.9,ETH,"($38,312.52",USD),Bid:,14,ETH,"($35,998.34",USD),
0,Punk,#8608,Bid:,13,ETH,"($33,427.03",USD),,,,,,,
0,Punk,#9626,Bid:,12.34,ETH,"($31,729.97",USD),,,,,,,
0,Punk,#8348,Bid:,10,ETH,"($25,713.10",USD),,,,,,,
0,Punk,#7121,Bid:,5,ETH,"($12,856.55",USD),,,,,,,
0,Punk,#5,Bid:,4.2,ETH,"($10,799.50",USD),,,,,,,
0,Punk,#8146,Bid:,3.03,ETH,"($7,791.07",USD),,,,,,,
0,Punk,#7647,Bid:,3,ETH,"($7,713.93",USD),,,,,,,
0,Punk,#112,Bid:,2.5,ETH,"($6,428.28",USD),,,,,,,
0,Punk,#2466,Bid:,2,ETH,"($5,142.62",USD),,,,,,,
0,Punk,#9961,Bid:,2,ETH,"($5,142.62",USD),,,,,,,
